Experiment,Time,TR_u_IPTG,TR_u_ATC,READOUT_LACI,READOUT_TETR,STD_LACI,STD_TETR
1,0,1,1.00E-06,1730.147684,3.511245593,17.30147684,0.035112456
1,4.983333333,1,1.00E-06,1791.270848,16.59333891,17.91270848,0.165933389
1,9.983333333,1,1.00E-06,1909.819356,42.08475195,19.09819356,0.42084752
1,14.91666667,1,1.00E-06,1981.975391,68.17191312,19.81975391,0.681719131
1,19.98333333,1,1.00E-06,2084.564792,96.90232971,20.84564792,0.969023297
1,24.93333333,1,1.00E-06,2166.475092,125.3892968,21.66475092,1.253892968
1,29.96666667,1,1.00E-06,2225.119704,150.9288659,22.25119704,1.509288659
1,34.93333333,1,1.00E-06,2278.088905,175.4252902,22.78088905,1.754252902
1,39.93333333,1,1.00E-06,2311.662489,197.8845767,23.11662489,1.978845767
1,44.93333333,1,1.00E-06,2256.964615,215.8512873,22.56964615,2.158512873
1,49.93333333,1,1.00E-06,2297.668166,238.742831,22.97668166,2.38742831
1,54.93333333,1,1.00E-06,2221.610179,260.1814821,22.21610179,2.601814821
1,59.96666667,1,1.00E-06,2172.005338,281.3784782,21.72005338,2.813784782
1,64.93333333,1,1.00E-06,2114.98314,294.5609866,21.1498314,2.945609866
1,69.93333333,1,1.00E-06,2046.636846,310.966097,20.46636846,3.10966097
1,74.93333333,1,1.00E-06,1990.062811,325.2141567,19.90062811,3.252141567
1,79.93333333,1,1.00E-06,1893.998459,346.8175978,18.93998459,3.468175978
1,84.93333333,1,1.00E-06,1863.608323,360.578856,18.63608323,3.60578856
1,89.93333333,1,1.00E-06,1786.670952,374.0557611,17.86670952,3.740557611
1,94.93333333,1,1.00E-06,1692.253191,387.7766177,16.92253191,3.877766177
1,99.93333333,1,1.00E-06,1629.35528,403.7004611,16.2935528,4.037004611
1,104.9333333,1,1.00E-06,1555.45405,416.1581328,15.5545405,4.161581328
1,109.9333333,1,1.00E-06,1517.800812,418.3177704,15.17800812,4.183177704
1,114.9333333,1,1.00E-06,1398.295701,446.3751418,13.98295701,4.463751418
1,119.9333333,1,1.00E-06,1330.527968,466.1702081,13.30527968,4.661702081
1,124.9333333,1,1.00E-06,1264.917426,477.7123499,12.64917426,4.777123499
1,129.9333333,1,1.00E-06,1212.595465,494.770648,12.12595465,4.94770648
1,134.9333333,1,1.00E-06,1143.723234,504.8836399,11.43723234,5.048836399
1,139.9333333,1,1.00E-06,1076.920398,528.5906281,10.76920398,5.285906281
1,144.9333333,1,1.00E-06,1020.996527,530.3514062,10.20996527,5.303514062
1,149.9666667,1,1.00E-06,968.5425045,559.1275043,9.685425045,5.591275043
1,155.2166667,1,1.00E-06,906.3736684,558.9889411,9.063736684,5.589889411
1,160.2,1,1.00E-06,860.4439794,589.8689476,8.604439794,5.898689476
1,165.1166667,1,1.00E-06,836.1335015,604.4447127,8.361335015,6.044447127
1,169.95,1,1.00E-06,784.7217112,623.4412157,7.847217112,6.234412157
1,174.9666667,1,1.00E-06,749.9278926,626.5742539,7.499278926,6.265742539
1,180.0833333,1,1.00E-06,700.1940361,646.6022425,7.001940361,6.466022425
1,184.9333333,1,1.00E-06,668.886524,659.0055239,6.68886524,6.590055239
1,189.9333333,1,1.00E-06,624.9511283,684.0944455,6.249511283,6.840944455
1,194.9666667,1,1.00E-06,596.7368741,703.9717391,5.967368741,7.039717391
1,199.9666667,1,1.00E-06,571.0163995,728.8091449,5.710163995,7.288091449
1,204.9833333,1,1.00E-06,529.0642191,727.8800434,5.290642191,7.278800434
1,209.9333333,1,1.00E-06,518.4930101,745.1780497,5.184930101,7.451780497
1,214.9333333,1,1.00E-06,479.7563314,777.4851934,4.797563314,7.774851934
1,219.9666667,1,1.00E-06,478.3585186,785.9303394,4.783585186,7.859303394
1,224.9333333,1,1.00E-06,447.3026805,802.3969293,4.473026805,8.023969293
1,229.9333333,1,1.00E-06,414.5433286,802.1802095,4.145433286,8.021802095
1,234.9833333,1,1.00E-06,397.3078613,831.4807421,3.973078613,8.314807421
1,239.95,1,1.00E-06,382.3095954,862.838974,3.823095954,8.62838974
1,244.9333333,1,1.00E-06,366.5759815,879.8889375,3.665759815,8.798889375
1,249.9333333,1,1.00E-06,352.4300891,888.3220073,3.524300891,8.883220073
1,254.9333333,1,1.00E-06,331.3553372,900.792634,3.313553372,9.00792634
1,259.95,1,1.00E-06,317.1421498,910.8966736,3.171421498,9.108966736
1,264.9333333,1,1.00E-06,303.6696813,939.6233527,3.036696813,9.396233527
1,269.9333333,1,1.00E-06,287.1657034,940.058063,2.871657034,9.40058063
1,274.9333333,1,1.00E-06,281.8554296,972.5970281,2.818554296,9.725970281
1,279.9833333,1,1.00E-06,272.3939687,985.4389794,2.723939687,9.854389794
1,284.9333333,1,1.00E-06,259.1510274,997.8615328,2.591510274,9.978615328
1,289.95,1,1.00E-06,245.7592232,1017.173949,2.457592232,10.17173949
1,294.9333333,1,1.00E-06,242.6397717,1032.903103,2.426397717,10.32903103
1,299.95,1,1.00E-06,234.6440996,1030.818014,2.346440996,10.30818014
1,304.9333333,1,1.00E-06,232.8209736,1039.982423,2.328209736,10.39982423
1,309.9333333,1,1.00E-06,213.6229734,1047.033098,2.136229734,10.47033098
1,315.2,1,1.00E-06,214.9025747,1077.969084,2.149025747,10.77969084
1,319.9833333,1,1.00E-06,206.2665342,1079.758227,2.062665342,10.79758227
1,324.9333333,1,1.00E-06,200.2485264,1096.854381,2.002485264,10.96854381
1,329.95,1,1.00E-06,195.1629821,1119.117712,1.951629821,11.19117712
1,335.2666667,1,1.00E-06,188.3147459,1132.545,1.883147459,11.32545
